id,name,age,status
0,P0,37,normal
1,P1,43,consumer
2,P2,37,addict
3,P3,49,normal
4,P4,26,consumer
5,P5,36,normal
6,P6,32,consumer
7,P7,35,normal
8,P8,33,addict
9,P9,32,normal
10,P10,29,normal
11,P11,34,normal
12,P12,60,consumer
13,P13,33,normal
14,P14,33,normal
15,P15,40,normal
16,P16,51,consumer
17,P17,28,normal
18,P18,48,addict
19,P19,28,addict
20,P20,39,normal
21,P21,46,consumer
22,P22,21,addict
23,P23,32,normal
24,P24,44,normal
25,P25,51,normal
26,P26,45,normal
27,P27,47,normal
28,P28,20,normal
29,P29,50,normal
30,P30,60,normal
31,P31,47,normal
32,P32,46,normal
33,P33,53,consumer
34,P34,40,dealer
35,P35,49,addict
36,P36,60,normal
37,P37,47,normal
38,P38,43,normal
39,P39,22,normal
40,P40,28,normal
41,P41,32,addict
42,P42,33,normal
43,P43,20,consumer
44,P44,46,normal
45,P45,15,normal
46,P46,36,normal
47,P47,54,normal
48,P48,33,normal
49,P49,35,addict
50,P50,35,addict
51,P51,40,normal
52,P52,25,normal
53,P53,41,normal
54,P54,28,consumer
55,P55,42,normal
56,P56,35,consumer
57,P57,19,normal
58,P58,40,normal
59,P59,21,normal

